ELEM_KOD;MEGYE_NEV;2020;2019;2018
13;Pest;3,779;3,487;3,081
4;Békés;2,714;2,553;2,272
10;Heves;3,152;2,977;2,650
5;Borsod-Abaúj-Zemplén;2,909;2,700;2,381
9;Hajdú-Bihar;2,949;2,723;2,393
20;Zala;2,967;2,781;2,463
19;Veszprém;3,286;3,078;2,714
6;Csongrád-Csanád;3,066;2,841;2,534
3;Bács-Kiskun;2,931;2,746;2,409
17;Tolna;3,204;2,942;2,594
7;Fejér;3,594;3,372;2,956
15;Szabolcs-Szatmár-Bereg;2,630;2,436;2,158
2;Baranya;2,960;2,750;2,441
16;Jász-Nagykun-Szolnok;2,950;2,753;2,426
1;Budapest;4,384;4,052;3,597
11;Komárom-Esztergom;3,664;3,389;2,967
8;Győr-Moson-Sopron;3,496;3,316;2,799
18;Vas;3,316;3,110;2,727
12;Nógrád;2,895;2,709;2,396
14;Somogy;2,798;2,599;2,274
